6631
8212	가가	38
10565	가각	1
5797	가감	18
1281	가게	458
2113	가격	768
19688	가격담합	1
6923	가격탄력성	2
17388	가격표	9
3108	가계	26
12686	가계부	17
19786	가계부채	3
24789	가계약	2
18779	가곡	1
1824	가공	293
22625	가공비	4
25215	가공업	1
23472	가공품	6
15280	가교	37
1228	가구	145
26710	가금	1
2312	가기	273
14893	가까스레	1
6800	가까스로	11
4147	가까이	234
1072	가끔	467
8752	가나	14
9185	가난	18
17278	가난뱅이	1
16101	가내	4
5864	가늠	81
7355	가능	271
986	가능성	1235
3434	가다가	17
11833	가닥	6
1392	가담	18
20283	가당	1
7006	가도	45
1739	가독성	106
15552	가동	161
21749	가동성	2
10474	가두	9
1825	가드	9
26424	가드레일	4
2676	가득	136
6211	가든	27
27759	가디건	1
20114	가디스	1
23017	가디언즈	1
543	가뜩이나	12
6586	가라	37
18332	가라라	1
14666	가라지	1
18590	가락	7
9160	가락동	5
9937	가락시장	2
28332	가람	2
19704	가랑비	1
8138	가래	1
1686	가량	264
12091	가려진	3
13538	가력	1
2114	가령	123
3780	가로	50
17490	가로등	5
16651	가로막	4
23322	가로세로	1
20791	가로수길	3
12435	가루	17
2115	가르침	329
12528	가리봉	1
5723	가리봉동	6
23042	가리왕산	2
28107	가림	2
5123	가마	4
3835	가마니	1
14847	가망	5
1282	가맹	69
3579	가면	162
9773	가명	1
9709	가무	2
11579	가문	4
3836	가뭄	19
3913	가미	32
3249	가발	9
4334	가방	60
11974	가변	11
27311	가변저항	6
11650	가보	6
27035	가보리	2
21338	가부장	1
17333	가비	1
24762	가쁘	3
12105	가쁜	2
5247	가사	32
7036	가산	37
21579	가산금	1
22183	가산기	3
2792	가상	162
26726	가상세계	2
20765	가상현실	27
8894	가상화	6
10636	가설	35
19450	가설검정	1
16949	가성	14
3580	가세	20
12557	가소	1
13737	가소성	1
13215	가소제	4
2582	가속	81
6551	가속도	24
23642	가속도계	1
11252	가솔린	20
4464	가수	49
6100	가스	195
28196	가스나	2
8932	가스등	2
9161	가스레인지	7
22782	가스렌지	1
28023	가스요금	2
21285	가스용기	3
20634	가스전	4
19284	가스켓	1
20980	가스터빈	6
14914	가스통	5
25893	가스프롬	1
28093	가스하이드레이트	1
2380	가슴	346
8757	가슴속	37
12552	가습기	18
2677	가시	160
25746	가시거리	3
17920	가시광	3
26836	가시광선	2
8139	가식	9
14037	가신	5
27376	가십	2
16281	가압	3
15556	가액	2
2620	가야	136
21012	가야금	1
23636	가양대교	3
8034	가업	5
22252	가연	1
11200	가열	19
21646	가오	1
27135	가오슝	6
8140	가옥	2
9050	가온	3
19332	가온누리	1
12184	가외	1
2238	가요	24
16931	가요제	10
17210	가용	14
27047	가용성	4
